POS,PLAYER,Speed (km/h) of Ball
1,Anrich Nortje ,156.22
2,Anrich Nortje ,155.21
3,Anrich Nortje ,154.74
4,Anrich Nortje ,154.21
5,Lockie Ferguson ,153.84
6,Anrich Nortje ,153.72
7,Jofra Archer ,153.62
8,Jofra Archer ,153.36
9,Jofra Archer ,153.23
10,Jofra Archer ,153.13
11,Lockie Ferguson ,152.58
12,Jofra Archer ,152.55
13,Anrich Nortje ,152.54
14,Anrich Nortje ,152.41
15,Lockie Ferguson ,152.41
16,Anrich Nortje ,152.39
17,Lockie Ferguson ,152.38
18,Lockie Ferguson ,152.36
19,Anrich Nortje ,152.32
20,Anrich Nortje ,152.32
21,Lockie Ferguson ,152.31
22,Jofra Archer ,152.26
23,Anrich Nortje ,152.16
24,Anrich Nortje ,152.14
25,Jofra Archer ,152.13
26,Jofra Archer ,151.93
27,Anrich Nortje ,151.89
28,Jofra Archer ,151.85
29,Jofra Archer ,151.75
30,Jofra Archer ,151.72
31,Pat Cummins ,151.7
32,Anrich Nortje ,151.7
33,Lockie Ferguson ,151.56
34,Lockie Ferguson ,151.52
35,Anrich Nortje ,151.44
36,Lockie Ferguson ,151.43
37,Lockie Ferguson ,151.41
38,Lockie Ferguson ,151.28
39,Jofra Archer ,151.12
40,Anrich Nortje ,151.12
41,Lockie Ferguson ,151.11
42,Lockie Ferguson ,151.04
43,Lockie Ferguson ,151.01
44,Kagiso Rabada ,150.99
45,Jofra Archer ,150.97
46,Jofra Archer ,150.85
47,Jofra Archer ,150.82
48,Anrich Nortje ,150.79
49,Jofra Archer ,150.75
50,Anrich Nortje ,150.74
51,Anrich Nortje ,150.7
52,Lockie Ferguson ,150.69
53,Anrich Nortje ,150.63
54,Anrich Nortje ,150.56
55,James Pattinson ,150.55
56,Jofra Archer ,150.48
57,Anrich Nortje ,150.46
58,Lockie Ferguson ,150.3
59,Lockie Ferguson ,150.3
60,Jofra Archer ,150.27
61,Jofra Archer ,150.26
62,Anrich Nortje ,150.17
63,Lockie Ferguson ,150.15
64,Jofra Archer ,150.15
65,Jofra Archer ,150.14
66,Jofra Archer ,150.1
67,Anrich Nortje ,150.07
68,Anrich Nortje ,150.06
69,Anrich Nortje ,150.01
70,Anrich Nortje ,150
71,Lockie Ferguson ,150
72,Lockie Ferguson ,149.91
73,Jofra Archer ,149.91
74,Anrich Nortje ,149.89
75,Jofra Archer ,149.82
76,Jofra Archer ,149.82
77,Anrich Nortje ,149.81
78,Jofra Archer ,149.78
79,Anrich Nortje ,149.75
80,Anrich Nortje ,149.7
81,Jofra Archer ,149.67
82,Lockie Ferguson ,149.66
83,Lockie Ferguson ,149.65
84,Anrich Nortje ,149.64
85,Jofra Archer ,149.63
86,Anrich Nortje ,149.6
87,Anrich Nortje ,149.59
88,Jofra Archer ,149.58
89,Anrich Nortje ,149.58
90,Jofra Archer ,149.52
91,Jofra Archer ,149.48
92,Kagiso Rabada ,149.47
93,Kagiso Rabada ,149.46
94,Anrich Nortje ,149.42
95,Navdeep Saini ,149.38
96,Navdeep Saini ,149.34
97,Lockie Ferguson ,149.33
98,Jofra Archer ,149.29
99,,
,Anrich Nortje ,149.29
100,Jofra Archer ,149.26
  ,,
