,POS,PLAYER,Mat ,Inns ,NO ,Runs ,HS ,Avg ,BF ,SR ,100,50,4s ,6s ,POS,PLAYER,Pts ,Mat ,Wkts ,Dots ,4s ,6s ,Catches ,Stumpings ,POS,PLAYER,Distance (m) 
0,1,KL Rahul ,14.0,14.0,2.0,670.0,132* ,55.83,518.0,129.34,1.0,5.0,58.0,23.0,,,,,,,,,,,1,Nicholas Pooran ,106.0
1,2,Shikhar Dhawan ,17.0,17.0,3.0,618.0,106* ,44.14,427.0,144.73,2.0,4.0,67.0,12.0,1,Jofra Archer ,305.0,14.0,20.0,175.0,5.0,10.0,5.0,0.0,2,Nicholas Pooran ,105.0
2,3,David Warner ,16.0,16.0,2.0,548.0,85* ,39.14,407.0,134.64,0.0,4.0,52.0,14.0,2,Kagiso Rabada ,298.0,17.0,30.0,156.0,4.0,2.0,8.0,0.0,3,Jofra Archer ,105.0
3,4,Shreyas Iyer ,17.0,17.0,2.0,519.0,88* ,34.6,421.0,123.27,0.0,3.0,40.0,16.0,3,Jasprit Bumrah ,269.5,15.0,27.0,175.0,0.0,0.0,0.0,0.0,4,Sanju Samson ,102.0
4,5,Ishan Kishan ,14.0,13.0,4.0,516.0,99,57.33,354.0,145.76,0.0,4.0,36.0,30.0,4,Rashid Khan ,260.0,16.0,20.0,168.0,3.0,2.0,3.0,0.0,5,MS Dhoni ,102.0
5,6,Quinton de Kock ,16.0,16.0,2.0,503.0,78* ,35.92,358.0,140.5,0.0,4.0,46.0,22.0,5,Trent Boult ,254.5,15.0,25.0,157.0,0.0,0.0,4.0,0.0,6,Shane Watson ,101.0
6,7,Suryakumar Yadav ,16.0,15.0,3.0,480.0,79* ,40,331.0,145.01,0.0,4.0,61.0,11.0,6,KL Rahul ,250.5,14.0,0.0,0.0,58.0,23.0,10.0,0.0,7,Nicholas Pooran ,100.0
7,8,Devdutt Padikkal ,15.0,15.0,0.0,473.0,74,31.53,379.0,124.8,0.0,5.0,51.0,8.0,7,Anrich Nortje ,247.0,16.0,22.0,160.0,0.0,0.0,4.0,0.0,8,Ambati Rayudu ,100.0
8,9,Virat Kohli ,15.0,15.0,4.0,466.0,90* ,42.36,384.0,121.35,0.0,3.0,23.0,11.0,8,Quinton de Kock ,247.0,16.0,0.0,0.0,46.0,22.0,18.0,4.0,9,Aaron Finch ,100.0
9,10,AB de Villiers ,15.0,14.0,4.0,454.0,73* ,45.4,286.0,158.74,0.0,5.0,33.0,23.0,9,Rahul Tewatia ,244.5,14.0,10.0,95.0,13.0,17.0,9.0,0.0,10,Shreyas Iyer ,99.0
10,11,Faf du Plessis ,13.0,13.0,2.0,449.0,87* ,40.81,319.0,140.75,0.0,4.0,42.0,14.0,10,Pat Cummins ,240.0,14.0,12.0,140.0,9.0,8.0,3.0,0.0,11,Chris Gayle ,99.0
11,12,Shubman Gill ,14.0,14.0,1.0,440.0,70* ,33.84,373.0,117.96,0.0,3.0,44.0,9.0,11,Marcus Stoinis ,236.5,17.0,13.0,50.0,31.0,16.0,3.0,0.0,12,Kieron Pollard ,98.0
12,13,Manish Pandey ,16.0,15.0,2.0,425.0,83* ,32.69,333.0,127.62,0.0,3.0,35.0,18.0,12,Sam Curran ,226.0,14.0,13.0,91.0,12.0,12.0,7.0,0.0,13,Ravindra Jadeja ,98.0
13,14,Mayank Agarwal ,11.0,11.0,0.0,424.0,106,38.54,271.0,156.45,1.0,2.0,44.0,15.0,13,Shikhar Dhawan ,222.0,17.0,0.0,0.0,67.0,12.0,5.0,0.0,14,Riyan Parag ,97.0
14,15,Eoin Morgan ,14.0,14.0,4.0,418.0,68* ,41.8,302.0,138.41,0.0,1.0,32.0,24.0,14,Mohammad Shami ,215.0,14.0,20.0,140.0,0.0,0.0,2.0,0.0,15,Marcus Stoinis ,97.0
15,16,Sanju Samson ,14.0,14.0,1.0,375.0,85,28.84,236.0,158.89,0.0,3.0,21.0,26.0,15,Suryakumar Yadav ,211.0,16.0,0.0,0.0,61.0,11.0,8.0,0.0,16,AB de Villiers ,97.0
16,17,Ambati Rayudu ,12.0,11.0,2.0,359.0,71,39.88,282.0,127.3,0.0,1.0,30.0,12.0,16,David Warner ,209.0,16.0,0.0,0.0,52.0,14.0,12.0,0.0,17,Axar Patel ,97.0
17,18,Nicholas Pooran ,14.0,14.0,4.0,353.0,77,35.3,208.0,169.71,0.0,2.0,23.0,25.0,17,T Natarajan ,199.5,16.0,16.0,136.0,0.0,0.0,3.0,0.0,18,Jonny Bairstow ,97.0
18,19,Nitish Rana ,14.0,14.0,0.0,352.0,87,25.14,254.0,138.58,0.0,3.0,43.0,12.0,18,Ishan Kishan ,197.5,14.0,0.0,0.0,36.0,30.0,1.0,0.0,19,Nicholas Pooran ,97.0
19,20,Marcus Stoinis ,17.0,17.0,3.0,352.0,65,25.14,237.0,148.52,0.0,3.0,31.0,16.0,19,Yuzvendra Chahal ,194.0,15.0,21.0,118.0,0.0,0.0,1.0,0.0,20,Kieron Pollard ,97.0
20,21,Jonny Bairstow ,11.0,11.0,0.0,345.0,97,31.36,272.0,126.83,0.0,3.0,31.0,13.0,20,AB de Villiers ,190.5,15.0,0.0,0.0,33.0,23.0,10.0,1.0,21,Kieron Pollard ,97.0
21,22,Rishabh Pant ,14.0,14.0,3.0,343.0,56,31.18,301.0,113.95,0.0,1.0,31.0,9.0,21,Axar Patel ,189.5,15.0,9.0,100.0,6.0,8.0,6.0,0.0,22,Nicholas Pooran ,96.0
22,23,Rohit Sharma ,12.0,12.0,0.0,332.0,80,27.66,260.0,127.69,0.0,3.0,27.0,19.0,22,Faf du Plessis ,184.0,13.0,0.0,0.0,42.0,14.0,12.0,0.0,23,Hardik Pandya ,96.0
23,24,Jos Buttler ,13.0,12.0,2.0,328.0,70* ,32.8,227.0,144.49,0.0,2.0,27.0,16.0,23,Ravindra Jadeja ,183.0,14.0,6.0,56.0,22.0,11.0,5.0,0.0,24,Kieron Pollard ,96.0
24,25,Kane Williamson ,12.0,11.0,4.0,317.0,67,45.28,237.0,133.75,0.0,3.0,26.0,10.0,24,Kieron Pollard ,181.5,16.0,4.0,33.0,15.0,22.0,8.0,0.0,25,Chris Gayle ,96.0
25,26,Steve Smith ,14.0,14.0,2.0,311.0,69,25.91,237.0,131.22,0.0,3.0,32.0,9.0,25,Varun Chakravarthy ,178.0,13.0,17.0,111.0,0.0,0.0,3.0,0.0,26,KL Rahul ,95.0
26,27,Shane Watson ,11.0,11.0,1.0,299.0,83* ,29.9,247.0,121.05,0.0,2.0,33.0,13.0,26,Mayank Agarwal ,177.5,11.0,0.0,0.0,44.0,15.0,6.0,0.0,27,KL Rahul ,95.0
27,28,Chris Gayle ,7.0,7.0,0.0,288.0,99,41.14,210.0,137.14,0.0,3.0,15.0,23.0,27,Devdutt Padikkal ,175.5,15.0,0.0,0.0,51.0,8.0,8.0,0.0,28,AB de Villiers ,95.0
28,29,Ben Stokes ,8.0,8.0,1.0,285.0,107* ,40.71,200.0,142.5,1.0,1.0,36.0,7.0,28,Washington Sundar ,174.0,15.0,8.0,114.0,10.0,2.0,0.0,0.0,29,Devdutt Padikkal ,95.0
29,30,Hardik Pandya ,14.0,13.0,5.0,281.0,60* ,35.12,157.0,178.98,0.0,1.0,14.0,25.0,29,Ravi Bishnoi ,171.5,14.0,12.0,122.0,1.0,0.0,2.0,0.0,30,Sanju Samson ,95.0
30,31,Aaron Finch ,12.0,12.0,0.0,268.0,52,22.33,241.0,111.2,0.0,1.0,28.0,8.0,30,Eoin Morgan ,171.5,14.0,0.0,0.0,32.0,24.0,3.0,0.0,31,David Warner ,95.0
31,32,Kieron Pollard ,16.0,12.0,7.0,268.0,60* ,53.6,140.0,191.42,0.0,1.0,15.0,22.0,31,Shreyas Iyer ,171.0,17.0,0.0,0.0,40.0,16.0,6.0,0.0,32,Axar Patel ,95.0
32,33,Rahul Tewatia ,14.0,11.0,5.0,255.0,53,42.5,183.0,139.34,0.0,1.0,13.0,17.0,32,Krunal Pandya ,171.0,16.0,6.0,100.0,9.0,5.0,4.0,0.0,33,Nicholas Pooran ,94.0
