POS,PLAYER,Pts ,Mat ,Wkts ,Dots ,4s ,6s ,Catches ,Stumpings 
,,,,,,,,,
1,Jofra Archer ,305,14,20,175,5,10,5,0
2,Kagiso Rabada ,298,17,30,156,4,2,8,0
3,Jasprit Bumrah ,269.5,15,27,175,0,0,0,0
4,Rashid Khan ,260,16,20,168,3,2,3,0
5,Trent Boult ,254.5,15,25,157,0,0,4,0
6,KL Rahul ,250.5,14,0,0,58,23,10,0
7,Anrich Nortje ,247,16,22,160,0,0,4,0
8,Quinton de Kock ,247,16,0,0,46,22,18,4
9,Rahul Tewatia ,244.5,14,10,95,13,17,9,0
10,Pat Cummins ,240,14,12,140,9,8,3,0
11,Marcus Stoinis ,236.5,17,13,50,31,16,3,0
12,Sam Curran ,226,14,13,91,12,12,7,0
13,Shikhar Dhawan ,222,17,0,0,67,12,5,0
14,Mohammad Shami ,215,14,20,140,0,0,2,0
15,Suryakumar Yadav ,211,16,0,0,61,11,8,0
16,David Warner ,209,16,0,0,52,14,12,0
17,T Natarajan ,199.5,16,16,136,0,0,3,0
18,Ishan Kishan ,197.5,14,0,0,36,30,1,0
19,Yuzvendra Chahal ,194,15,21,118,0,0,1,0
20,AB de Villiers ,190.5,15,0,0,33,23,10,1
21,Axar Patel ,189.5,15,9,100,6,8,6,0
22,Faf du Plessis ,184,13,0,0,42,14,12,0
23,Ravindra Jadeja ,183,14,6,56,22,11,5,0
24,Kieron Pollard ,181.5,16,4,33,15,22,8,0
25,Varun Chakravarthy ,178,13,17,111,0,0,3,0
26,Mayank Agarwal ,177.5,11,0,0,44,15,6,0
27,Devdutt Padikkal ,175.5,15,0,0,51,8,8,0
28,Washington Sundar ,174,15,8,114,10,2,0,0
29,Ravi Bishnoi ,171.5,14,12,122,1,0,2,0
30,Eoin Morgan ,171.5,14,0,0,32,24,3,0
31,Shreyas Iyer ,171,17,0,0,40,16,6,0
32,Krunal Pandya ,171,16,6,100,9,5,4,0
33,Sanju Samson ,171,14,0,0,21,26,9,2
34,Sandeep Sharma ,170.5,13,14,119,1,0,0,0
35,Manish Pandey ,168,16,0,0,35,18,7,0
36,Deepak Chahar ,167.5,14,12,118,0,0,3,0
37,Rahul Chahar ,166.5,15,15,104,0,0,4,0
38,Ravichandran Ashwin ,162.5,15,13,101,3,1,2,0
39,Nicholas Pooran ,162.5,14,0,0,23,25,7,0
